
0 0 0
1 1 0
2 4 2
3 9 4
4 16 8
5 25 12
6 36 18
7 49 24
8 64 32
9 81 40
10 100 50
11 121 60
12 144 72
13 169 84
14 196 98
15 225 112
16 256 128
17 289 144
18 324 162
19 361 180
20 400 200
21 441 220
22 484 242
23 529 264
24 576 288
25 625 312
26 676 338
27 729 364
28 784 392
29 841 420
30 900 450
31 961 480
32 1024 512
33 1089 544
34 1156 578
35 1225 612
36 1296 648
37 1369 684
38 1444 722
39 1521 760
40 1600 800
41 1681 840
42 1764 882
43 1849 924
44 1936 968
45 2025 1012
46 2116 1058
47 2209 1104
48 2304 1152
49 2401 1200
50 2500 1250
51 2601 1300
52 2704 1352
53 2809 1404
54 2916 1458
55 3025 1512
56 3136 1568
57 3249 1624
58 3364 1682
59 3481 1740
60 3600 1800
61 3721 1860
62 3844 1922
63 3969 1984
64 4096 2048
65 4225 2112
66 4356 2178
67 4489 2244
68 4624 2312
69 4761 2380
70 4900 2450
71 5041 2520
72 5184 2592
73 5329 2664
74 5476 2738
75 5625 2812
76 5776 2888
77 5929 2964
78 6084 3042
79 6241 3120
80 6400 3200
81 6561 3280
82 6724 3362
83 6889 3444
84 7056 3528
85 7225 3612
86 7396 3698
87 7569 3784
88 7744 3872
89 7921 3960
90 8100 4050
91 8281 4140
92 8464 4232
93 8649 4324
94 8836 4418
95 9025 4512
96 9216 4608
97 9409 4704
98 9604 4802
99 9801 4900
